,tweet_id,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,date,time,retweet_count,favorite_count,image_url,image_number,first_prediction,confidence_first_prediction,first_prediction_is_breed,second_prediction,confidence_second_prediction,second_prediction_is_breed,third_prediction,confidence_third_prediction,third_prediction_is_breed,total_rating;;
"0,892420643555336193,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,,2017-08-01,16:23:56,8730,39176,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,1.3";;
"1,892177421306343426,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 "",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,,2017-08-01,00:17:27,6409,33556,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,1.3";;
"2,891815181378084864,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,,2017-07-31,00:18:03,4257,25289,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,1.2";;
"3,891689557279858688,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,,2017-07-30,15:58:51,8832,42545,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,Spatula,0.0408359,False,1.3";;
"4,891327558926688256,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""This is Franklin. He would like you to stop calling him """"cute."""" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek "",""https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1"",12.0,10.0,Franklin,,2017-07-29,16:00:24,9613,40724,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,1.2";;
"5,891087950875897856,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,NaN,,2017-07-29,00:08:17,3197,20414,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,1.3";;
"6,890971913173991426,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below";;
;;
",https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1"",13.0,10.0,Jax,,2017-07-28,16:27:12,2123,11970,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,Ice_lolly,0.193548,False,1.3";;
